========================================================================
LISTADO DE MEDICAMENTOS DE USO COMUN EN REPUBLICA DOMINICANA
Referencia por categoria terapeutica - Base para proyecto/app
========================================================================

NOTAS IMPORTANTES (leer antes de usar):
1. Esta NO es una copia del Registro Sanitario oficial de DIGEMAPS. DIGEMAPS
   (Direccion General de Medicamentos, Alimentos y Productos Sanitarios,
   digemaps.gob.do) es la autoridad que otorga los registros sanitarios en
   RD y publica boletines mensuales en PDF con miles de productos
   registrados por decadas, pero esos boletines solo traen nombre
   comercial/laboratorio/numero de registro, NO dosis ni indicacion clinica.
2. Este archivo reune ~270 principios activos de uso amplio/comun en el
   mercado farmaceutico dominicano y latinoamericano, con informacion
   farmacologica estandar (dosis, indicacion, presentacion).
3. Los NOMBRES COMERCIALES listados son referencias generales (marcas
   ampliamente distribuidas en la region); la disponibilidad exacta y el
   estatus de registro vigente en RD puede variar por laboratorio/tiempo.
   Para verificar el registro sanitario de un producto especifico, consulta
   digemaps.gob.do
4. Las DOSIS son valores de referencia para adulto promedio (via oral salvo
   que se indique otra via) y no sustituyen indicacion medica ni el
   prospecto/ficha tecnica oficial del fabricante. No usar para
   autoprescripcion.
5. Formato de cada linea:
   Generico | Nombres comerciales comunes | Dosis habitual adulto | Indicacion principal | Presentacion | Via

Total aproximado: 270 medicamentos en 44 categorias
========================================================================

## 1. ANALGESICOS Y ANTIPIRETICOS
Paracetamol (Acetaminofen) | Tylenol, Dolex, Panadol | 500-1000 mg c/6-8h, max 4 g/dia | Dolor leve-moderado, fiebre | Tab 500 mg, jarabe, gotas, supositorio | Oral/Rectal
Metamizol (Dipirona) | Novalgina, Neomelubrina | 500-1000 mg c/6-8h | Dolor moderado-severo, fiebre alta | Tab, ampolla, gotas | Oral/IV/IM
Acido acetilsalicilico (Aspirina) | Aspirina, Bufferin, Ecotrin | 500 mg c/4-6h (dosis analgesica); 81-100 mg/dia (antiagregante) | Dolor, fiebre, prevencion cardiovascular | Tab 100/325/500 mg | Oral
Tramadol | Tramal, Tridol | 50-100 mg c/6-8h, max 400 mg/dia | Dolor moderado-severo | Cap 50 mg, ampolla, gotas | Oral/IV/IM
Paracetamol + Tramadol | Zaldiar | 1 tab c/6-8h, max 8 tab/dia | Dolor moderado-severo | Tab combinada | Oral
Ketorolaco | Toragesic, Dolac | 10 mg c/4-6h oral; 30 mg IM/IV | Dolor agudo moderado-severo (uso corto, max 5 dias) | Tab 10 mg, ampolla | Oral/IM/IV
Naproxeno sodico | Flanax, Naprosyn | 220-550 mg c/12h | Dolor, inflamacion | Tab 220/550 mg | Oral
Paracetamol + Codeina | Tylex, Cod-Efferalgan | 1-2 tab c/6h | Dolor moderado | Tab combinada | Oral

## 2. AINES - ANTIINFLAMATORIOS NO ESTEROIDEOS
Ibuprofeno | Advil, Motrin, Ibupirac | 400-600 mg c/6-8h, max 2.4 g/dia | Dolor, inflamacion, fiebre | Tab 200/400/600 mg, suspension | Oral
Diclofenaco sodico | Voltaren, Cataflam | 50 mg c/8h, max 150 mg/dia | Dolor e inflamacion musculoesqueletica | Tab, gel topico, ampolla | Oral/Topico/IM
Meloxicam | Mobic, Movalis | 7.5-15 mg/dia | Artritis, osteoartritis | Tab 7.5/15 mg | Oral
Piroxicam | Feldene | 20 mg/dia | Artritis reumatoide, osteoartritis | Cap 20 mg, gel | Oral/Topico
Celecoxib | Celebrex | 100-200 mg c/12-24h | Artritis, dolor inflamatorio (COX-2 selectivo) | Cap 100/200 mg | Oral
Indometacina | Indocin | 25-50 mg c/8-12h | Artritis, gota, dolor inflamatorio | Cap 25/50 mg | Oral
Ketoprofeno | Fastum, Profenid | 50-100 mg c/8-12h | Dolor e inflamacion | Cap, gel topico | Oral/Topico
Nimesulida | Nimalox, Nisulid | 100 mg c/12h | Dolor e inflamacion (uso corto) | Tab 100 mg | Oral
Etoricoxib | Arcoxia | 60-120 mg/dia | Artritis, gota aguda | Tab 60/90/120 mg | Oral
Diclofenaco + Misoprostol | Arthrotec | 1 tab c/12h | Artritis con proteccion gastrica | Tab combinada | Oral

## 3. ANALGESICOS OPIOIDES (uso controlado/receta especial)
Morfina | Morfina | Segun protocolo/titulacion | Dolor severo, oncologico, postoperatorio | Ampolla, tab liberacion controlada | Oral/IV/SC
Codeina | (habitual en combinados con paracetamol) | 30-60 mg c/4-6h | Dolor leve-moderado, tos | Tab, jarabe | Oral
Fentanilo | Durogesic (parche) | Segun titulacion, parche c/72h | Dolor cronico severo, oncologico | Parche transdermico, ampolla | Transdermico/IV
Oxicodona | Oxycontin | Segun titulacion | Dolor moderado-severo | Tab liberacion prolongada | Oral
Hidrocodona + Paracetamol | Vicodin | 1 tab c/4-6h | Dolor moderado-severo | Tab combinada | Oral
Buprenorfina | Buprenex | Segun protocolo | Dolor severo, manejo de dependencia opioide | Ampolla, parche, sublingual | Sublingual/Transdermico/IV

## 4. ANTIBIOTICOS - PENICILINAS
Amoxicilina | Amoxil, Amoxal | 500 mg c/8h u 875 mg c/12h | Infecciones respiratorias, urinarias, ORL | Cap 500 mg, suspension | Oral
Amoxicilina + Acido clavulanico | Augmentin, Clavulin | 875/125 mg c/12h | Infecciones bacterianas resistentes | Tab, suspension | Oral
Ampicilina | Ampicilina | 500 mg c/6h | Infecciones bacterianas variadas | Cap, ampolla | Oral/IV/IM
Penicilina G benzatinica | Benzetacil | 1.2-2.4 millones UI dosis unica/semanal | Faringitis estreptococica, sifilis, profilaxis fiebre reumatica | Ampolla IM | IM
Penicilina V | Fenoxymethylpenicilina | 500 mg c/6h | Infecciones estreptococicas | Tab | Oral
Dicloxacilina | Dynapen | 500 mg c/6h | Infecciones por estafilococo | Cap, suspension | Oral
Piperacilina + Tazobactam | Tazocin | 4.5 g c/6-8h | Infecciones graves hospitalarias | Vial IV | IV
Oxacilina | Oxacilina | 500 mg-1g c/6h | Infecciones por estafilococo | Vial IV/IM | IV/IM

## 5. ANTIBIOTICOS - CEFALOSPORINAS
Cefalexina | Keflex | 500 mg c/6-8h | Infecciones de piel, respiratorias, urinarias | Cap, suspension | Oral
Cefadroxilo | Duricef | 500 mg-1g c/12h | Infecciones de piel y urinarias | Cap, suspension | Oral
Cefuroxima | Zinnat, Ceftin | 250-500 mg c/12h | Infecciones respiratorias, urinarias | Tab, suspension | Oral
Ceftriaxona | Rocephin | 1-2 g/dia | Infecciones graves, meningitis, gonorrea | Vial IV/IM | IV/IM
Cefotaxima | Claforan | 1-2 g c/8h | Infecciones graves hospitalarias | Vial IV | IV
Cefixima | Suprax | 400 mg/dia | Infecciones respiratorias, urinarias | Tab, suspension | Oral
Ceftazidima | Fortum | 1-2 g c/8h | Infecciones graves, Pseudomonas | Vial IV | IV
Cefepime | Maxipime | 1-2 g c/12h | Infecciones nosocomiales graves | Vial IV | IV

## 6. ANTIBIOTICOS - MACROLIDOS
Azitromicina | Zithromax, Azitrocin | 500 mg dia 1, luego 250 mg/dia (3-5 dias) | Infecciones respiratorias, ETS | Tab, suspension | Oral
Claritromicina | Klaricid | 500 mg c/12h | Infecciones respiratorias, H. pylori | Tab, suspension | Oral
Eritromicina | Eritromicina | 500 mg c/6h | Infecciones respiratorias, alternativa en alergia a penicilina | Tab, suspension | Oral
Clindamicina | Dalacin | 300-450 mg c/6-8h | Infecciones de piel, dentales, anaerobias | Cap, gel topico, ampolla | Oral/Topico/IV

## 7. ANTIBIOTICOS - QUINOLONAS
Ciprofloxacino | Cipro, Ciproxina | 500 mg c/12h | Infecciones urinarias, gastrointestinales | Tab, suspension, gotas oftalmicas | Oral/IV/Oftalmico
Levofloxacino | Levaquin, Tavanic | 500-750 mg/dia | Infecciones respiratorias, urinarias | Tab, ampolla | Oral/IV
Moxifloxacino | Avelox | 400 mg/dia | Infecciones respiratorias | Tab | Oral
Norfloxacino | Noroxin | 400 mg c/12h | Infecciones urinarias | Tab | Oral
Ofloxacino | Floxin | 400 mg c/12h | Infecciones urinarias, ETS | Tab, gotas | Oral/Otico

## 8. ANTIBIOTICOS - TETRACICLINAS
